Dates,Dates,G007026E45991N,G007050E45972N,G007281E45526N,G007297E45961N,G007394E45986N,G007419E45967N,G007510E46381N,G007549E46005N,G007581E46002N,G007603E46067N,G007625E45991N,G007639E46058N,G007682E46077N,G007702E46120N,G007730E45943N,G007761E45922N,G007800E45965N,G007807E46481N,G007833E46493N,G007846E45906N,G007860E46128N,G007880E45990N,G007892E46055N,G007896E46027N,G007908E45948N,G007922E46000N,G007930E46472N,G007964E46423N,G008016E46459N,G008051E46567N,G008098E46566N,G008131E46609N,G008144E46504N,G008147E46640N,G008156E46616N,G008187E46569N,G008379E46648N,G008431E46695N,G008861E46827N,G009837E46351N,G009860E46370N,G009889E46366N,G009942E46399N,G009969E46369N,G010535E46167N,G010577E46153N,G010609E46395N,G011184E46953N,G021992E70174N,G022083E70150N,G041229E43392N,G041338E43356N,G041406E43354N,G041420E43362N,G041426E43326N,G041439E43313N,G041493E43296N,G041519E43299N,G041523E43281N,G041561E43266N,G041572E43240N,G041626E43230N,G041652E43255N,G041673E43238N,G041692E43207N,G041693E43224N,G041772E43227N,G041843E43225N,G041904E43293N,G041997E43219N,G042051E43198N,G042078E43218N,G042093E43100N,G042100E43207N,G042112E43216N,G042177E43228N,G042208E43222N,G042234E43233N,G042280E43217N,G042321E43226N,G043762E42752N,G043763E42801N,G043771E42740N,G043772E42828N,G043844E42752N,G043845E42727N,G043884E42750N,G044389E42749N,G044447E42733N,G044467E42706N,G044477E42719N,G044483E42698N,G044503E42719N,G044517E42715N,G044537E42706N,G045335E42577N,G045645E42509N,G047796E38263N,G050944E36380N,G050969E36388N,G072154E36611N,G072276E36720N,G073881E36791N,G075110E36318N,G075212E36027N,G075248E38558N,G076135E33464N,G076139E33764N,G076233E33705N,G076553E35339N,G076582E35961N,G077195E35779N,G077441E36518N,G077780E36712N,G077972E34575N,G079397E36144N,G079448E36046N,G079544E31011N,G079568E34309N,G080251E42005N,G080422E35819N,G080574E35527N,G080581E42004N,G080842E42199N,G080860E34368N,G080949E42400N,G081057E35255N,G081184E35317N,G081637E42410N,G082076E35436N,G083476E28736N,G084142E28500N,G084689E28511N,G084759E28427N,G084939E43518N,G085638E34457N,G085758E28296N,G085885E34389N,G086280E28276N,G086633E28122N,G086719E28132N,G087182E36381N,G087347E36344N,G087851E49154N,G089107E33816N,G089122E33894N,G090157E28136N,G090936E36102N,G091091E33424N,G091092E33366N,G211128E60439N,G212558E63648N,G213319E63433N,G222166E59371N,G222767E59342N,G222945E59218N,G223019E59160N,G223058E59316N,G223217E59479N,G223301E58723N,G223304E59444N,G223515E59091N,G223711E59237N,G223858E59202N,G225242E59366N,G225315E59267N,G225357E59279N,G225688E59122N,G226067E58945N,G226234E58919N,G226274E58882N,G226677E58330N,G226792E58448N,G226839E58334N,G226922E58043N,G227371E58087N,G227390E57963N,G227438E57917N,G227454E58004N,G227482E57968N,G227526E57562N,G227627E57972N,G227643E57506N,G227691E57501N,G227784E57753N,G235042E57853N,G239484E53002N,G239808E52894N,G240244E52815N,G240543E53417N,G241920E52410N,G242130E52179N,G242143E52208N,G242234E52184N,G242636E52211N,G242657E52180N,G242731E52135N,G242954E51919N,G243063E50807N,G243112E51724N,G282656E09382S,G286639E49733S,G286738E50402S,G286764E50376S,G286773E49566S,G286852E49174S,G286866E49224S,G286875E49227S,G286878E49177S,G286883E50681S,G286900E49352S,G286902E49166S,G286920E49359S,G286924E49328S,G286929E49140S,G286934E49316S,G286954E49103S,G286984E49869S,G287357E15537S,G287591E48477S,G287611E48517S,G287660E48530S,G287664E48504S,G287940E42132S,G288117E41158S,G289903E32043S,G289924E32060S,G289971E32602S,G289972E33043S,G289986E32570S,G289994E32681S,G289995E32986S,G290007E31452S,G290035E33013S,G290117E33830S,G290133E33763S,G290159E33735S,G290163E33530S,G290191E33451S,G290195E33749S,G290197E33544S,G290207E30395S,G290237E33382S,G290237E33400S,G291155E27738S 
412,2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2013-07-01,6.503225146484374,9.1187525390625,5.113661645507812,14.866737597656249,5.371890087890624,7.67090654296875,7.61895439453125,8.824115771484374,9.080614013671875,4.457604858398438,16.86895400390625,15.8608962890625,5.628827490234375,5.796494970703125,9.336646205357143,8.848949765625,40.957154296875004,12.885548876953125,6.01540048828125,10.949679667968748,7.55573203125,13.09260427734375,8.88621310546875,9.39440478515625,9.598076147460937,4.504174145507813,9.651952880859374,17.1858333984375,6.063149853515625,11.1934571484375,8.139119765625,8.354958984375001,33.8329125,5.7332642578125,8.564426953125,26.483757275390623,14.387080224609376,5.96562568359375,13.72340337890625,5.079678515625,7.704900585937499,4.746768603515625,16.716638671875,5.1352482421875,14.983585664062499,5.8672156640625,12.13720013671875,6.8124392578125,,,2.7069107299804687,2.2962411254882813,2.0388550048828127,2.627671435546875,1.9668237890625,3.5278977329799104,6.801812841796875,2.7754147265625,5.969429296875,4.540625181361607,4.523015112304687,5.342604272460938,2.0362277709960934,2.238908386230469,1.734350793457031,1.6625864318847656,2.1363771240234377,2.2968255981445314,1.6223709320068358,1.7260526596069337,1.896518408203125,3.0138312116350443,2.625645556640625,2.068485974121094,2.831995333426339,2.692509411621094,1.7091146850585937,1.863290295410156,2.0298157104492187,1.9579059228515625,3.437948254394531,1.607906167602539,1.76934111328125,1.5987128906249999,12.8420089453125,3.8077248779296875,1.961051257324219,2.1312761352539065,4.2580259765625,1.2599820556640624,6.338313720703125,2.3197740234375,2.246653894042969,7.494690234375,1.858437158203125,2.580087147739955,1.8395635253906248,1.2931372192382813,4.611743188476562,2.7844951904296877,63.95509160156249,56.777314746093744,48.0499634765625,82.43050859374999,53.314422890624996,43.78409009232954,44.569028671875,52.469656875,47.09860875,35.300749921875,21.362123018973215,35.5547126953125,33.124505625,33.5763010546875,26.801714229910715,44.99411484375,36.85241337890625,46.718296875,10.910799795809659,36.709316015625,48.4146896484375,39.099620089285715,48.68890078125,49.834975781249994,35.732781562499994,50.58431859375,33.32412869318182,44.801866947115386,38.434831171875,44.105941015625,40.0701533203125,49.769198437499995,47.16686513671875,61.241417578124995,38.6455025390625,35.2394578125,23.334888867187498,35.52711328125,18.277590234374998,35.25862265625,46.0711078125,50.3703298828125,39.117297656249995,38.619487265625,33.773240625,43.773860742187495,43.792576171875,39.24654408482143,29.34640634765625,33.240731835937495,18.931041650390625,81.3864065625,46.043709609375,46.5615228515625,22.89634541015625,18.701834765625,,,25.251837890624998,31.42571484375,22.3456048828125,48.389588085937504,34.417260351562504,18.22635087890625,27.48950712890625,18.669770214843748,44.7274209375,18.67677890625,47.33059453125,19.4497962890625,23.045666936383927,21.832024570312498,42.8863517578125,35.9045859375,38.40416953125,23.20276962890625,25.732729687499997,47.18064073660714,37.9550390625,18.227502120535714,23.716055859375,18.471908984375,27.447038964843745,3.94056826171875,34.818447656249994,30.411364453125,20.87089013671875,27.679953515624998,17.67036474609375,30.3544828125,21.79670009765625,50.103400195312496,22.1978373046875,35.72837841796875,21.293058984374998,29.869133203125,31.6078003125,18.873370195312496,18.680812834821428,38.09103328125,5.654189794921875,,,,3.929303759765625,17.743696875,18.484716796875,18.0967412109375,7.6755322265625,,16.402519335937498,26.662563281249998,16.5128501953125,27.860139843749998,11.49689267578125,11.35087294921875,8.765934082031249,,29.994721484375003,28.123509374999998,24.388147265624998,6.80934990234375,12.2429478515625,10.560981884765624,8.24465302734375,5.865587548828125,8.43951955078125,9.0852732421875,8.712015569196428,16.860127499999997,8.572037820870536,,13.5695745703125,,,22.044237890625,12.48296748046875,6.919417016601563,,8.1420228515625,9.347680224609375,9.690682963423296,8.162826708984374,11.380487109374998,11.619802880859375
415,2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2013-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2014-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2014-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2014-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2014-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2014-07-01,6.455699780273437,9.06387212611607,5.102252160644531,14.86503896484375,5.350127014160156,7.700044921875,7.557143994140625,8.766646655273437,9.051162670898437,4.4285329101562505,16.842392578125,15.8404177734375,5.582274902343751,5.815573828125,9.40230931640625,8.82357837890625,40.68019828125,12.814494213867187,6.028975634765625,10.86354650390625,7.5379496484374995,13.069377597656251,8.837200019531249,9.374793925781251,9.57167138671875,4.482789609375,9.597008671874999,17.09344599609375,6.0402382910156245,11.092859824218749,8.1191044921875,8.47440234375,33.632488828125005,5.706524267578125,8.532723486328125,26.272268437499996,14.38755380859375,5.93526603515625,13.78122861328125,5.140975693359374,7.689710917968751,4.742521435546875,16.7261691796875,5.111204765625,14.934108867187499,5.830233046875,12.12302619140625,6.7839767578125,,,2.6956784179687503,2.2996105224609376,2.0560116577148437,2.621418310546875,1.9587577697753906,3.5076630432128906,6.776250402832031,2.757580856323242,5.910420574951171,4.534241967773437,4.500489488002232,5.326511572265625,2.036269226074219,2.241458679199219,1.7104932861328124,1.6507634216308593,2.12529462890625,2.2986736083984374,1.606137419782366,1.7169324829101562,1.8880836181640623,3.0031464111328128,2.6362618066406247,2.076901831054687,2.7851031298828124,2.6762776611328123,1.6950346160888672,1.8467448486328124,2.0025451318359373,1.947505078125,3.436083508300781,1.5984101733398437,1.7878118225097657,1.5939374853515624,12.754982666015627,3.77347763671875,1.9580371215820311,2.117519348144531,4.227224501953125,1.2516621185302734,6.311751416015625,2.309804736328125,2.2187477966308595,7.4735926757812505,1.826448193359375,2.572060159737723,1.8367380615234374,1.2896944702148436,4.583647924804687,2.7783671630859375,63.802737723214285,56.290635791015625,47.95004754971591,82.53922299107141,52.310097070312494,43.25390220170454,44.506613671875,52.477145703125,46.722586328125004,34.63363124999999,21.47223013392857,35.473843124999995,33.1195453125,33.515868164062496,26.624098828125,45.0460599609375,36.826308984375004,46.627941796875,10.886975683593748,36.96289151785714,48.54407080078125,38.89550109375,48.53922626953125,49.8334904296875,35.45698227539062,50.34626448317307,33.299327197265626,44.771845078125,38.176564453124996,43.691446484375,40.139409375,49.876576171875,47.520421875,61.987450781250004,38.530648125,35.1918380859375,23.36967421875,35.52185126953125,17.505408867187498,35.100755859375,45.366515625,50.295872460937495,39.0784330078125,38.602271777343745,33.66398671875,44.059223144531245,43.255628613281246,39.190814648437495,29.275737890625,33.15781875,18.995115234375,,,47.110440234375,22.98377021484375,18.694636523437502,,,25.203551367187497,,21.96627890625,48.268831640624995,34.5290203125,18.172714453125,27.381628710937502,18.621588867187498,44.8364478515625,18.5494412109375,47.302059375,19.4056681640625,22.8538072265625,21.715396875,43.079875781249996,35.922501562499995,38.4899958984375,23.166551953125,25.645398046875,46.375734375,39.58752756696428,18.21632548828125,23.154683203125,17.9428232421875,27.16800380859375,3.8983175354003907,34.8884384765625,30.340620703124998,20.85141298828125,27.577843359375,17.608920870535716,30.427633426339288,21.735892968749997,50.04987890625,22.2455302734375,35.612954296874996,21.3403224609375,29.774248593749995,31.27797421875,18.731718080357144,18.704036953125,38.266629910714286,5.6359894042968754,,,,3.940150341796875,17.7132322265625,18.543687890624998,18.127065234375,7.665609375,,16.3897646484375,26.666398828125,,,11.488939453124999,,8.72810419921875,,29.69897578125,28.123941796875,24.375909375,6.7854181640624995,12.2322955078125,10.52385802734375,8.203540253906251,5.827540825195312,8.370303710937499,9.00001552734375,8.579428497869317,16.742272265625,8.3078455078125,,13.23672080078125,,,21.85000999644886,12.365293798828125,6.874739248934659,,7.902120080566406,9.440630595703125,9.605337218520221,8.014384863281249,11.24991984375,11.62296698330966
427,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2014-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2015-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2015-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2015-07-01,6.415138790457589,8.98781748046875,5.090064038085937,14.8626685546875,5.330759838867188,7.722746337890624,7.4947212890625,8.717707177734376,9.017956201171875,4.409180419921874,16.829712890625,15.8132923828125,5.6280287109375,5.828728271484375,9.462409277343749,8.799001171875,40.42635328125,12.751795019531249,6.031834423828125,10.747000195312499,7.520641479492188,13.04483361328125,8.787881030273438,9.35607919921875,9.50982486328125,4.46076650390625,9.53329453125,16.9317908203125,6.030942736816407,10.989912744140625,8.10475048828125,8.552089306640624,33.44757978515625,5.663331225585938,8.50078634765625,25.971843515625,14.37432861328125,5.898924243164063,13.778551025390625,5.189530517578125,7.6714639453125,4.73575869140625,16.795100390625002,5.082453369140625,14.856523828124999,5.775641015625,12.103658935546875,6.73662919921875,,,2.6862281982421874,2.2984468505859375,2.0631768310546876,2.621378759765625,1.9513244750976562,3.4994637817382808,6.77264853515625,2.7375690673828124,5.883432055664063,4.530050244140625,4.479657934570312,5.3254107421875,2.035664208984375,2.2377312377929686,1.6977402465820313,1.645090301513672,2.1208779052734377,2.3056117257254463,1.5934553649902343,1.7065915649414063,1.8784838378906248,2.9866667724609375,2.636325732421875,2.096029541015625,2.7522345703124995,2.668517248535156,1.6872440185546875,1.8400228637695313,1.9894552734375,1.9428049072265625,3.4297217138671874,1.5883279724121093,1.7920409106445312,1.5821638863699776,12.6297140625,3.746176435546875,1.9575309814453126,2.1035437081473214,4.202055439453124,1.2385556982421875,6.279134545898438,2.29614052734375,2.1920665283203125,7.442171191406249,1.794865264892578,2.564790380859375,1.8335496643066405,1.2887641845703124,4.557094079589843,2.758273571777344,63.99880696022726,56.02648656850962,47.858420390625,82.35801,50.95456021205357,42.91640060369318,44.48485942382813,52.489907226562494,46.293914794921875,34.270671093749996,21.5076779296875,35.464747265625,33.09781904296875,33.380384765625,26.463194949776785,45.059269921875,36.789605859375,46.4495428125,10.873584667968752,37.022628515625,48.55581984375,38.725227421875005,48.288565546875,49.9334185546875,35.2687341796875,50.311859224759615,33.26711264648437,44.754443359374996,37.819976953125,43.5258263671875,40.177543359375,49.73213018973214,48.03048984375,62.15430234375,38.47659609375,35.163988769531244,,35.52892875,16.639288549804686,35.016113671875,44.33637744140625,50.2426564453125,39.0530900390625,,33.7978381640625,44.39693056640625,42.468905390625004,39.1122984375,29.148028857421874,33.02106416015625,19.0717224609375,81.8697,46.2015662109375,47.729492578125004,23.0980637109375,18.652696875,,,25.13191201171875,31.31686669921875,21.803259375,48.1687359375,34.6479380859375,18.07759599609375,27.35000244140625,18.567310693359374,44.9518265625,18.42272373046875,47.2635228515625,19.325649375,22.735700156249997,21.52084833984375,43.227291796875,35.928678515625,38.5093740234375,23.138113623046873,25.581163183593752,46.079335546875,40.440384843749996,18.181377246093753,22.84980732421875,17.6480115234375,26.99372900390625,3.8733640136718748,34.9819048828125,30.2732015625,20.77431328125,27.43412783203125,17.55446513671875,30.532384687500002,21.66899150390625,49.982732578125,22.2575315625,35.453848359375,21.375614062500002,29.68484296875,30.99108427734375,18.61396640625,18.6976951171875,38.3285015625,5.62100361328125,21.5985216796875,,,3.980122668457031,17.6515948828125,18.689542382812498,18.1840130859375,7.663147998046875,31.3169326171875,16.383487939453126,26.635739765624997,16.492785205078125,27.96625283203125,11.468759765625,11.322157543945313,8.676875390625,,29.767456249999995,28.106680580357143,24.350344189453125,6.721917187499999,12.160967117745534,10.4549341796875,8.18061427001953,5.799521887207031,8.293374755859375,8.909775159801136,8.497872784423828,16.65310974609375,8.019912430245535,,12.983869575639204,,,21.6675985546875,12.23863721590909,6.872959800502231,,7.685373828124999,9.572416322544642,9.60103631663603,7.865856005859374,11.10504849609375,11.638168146306818
439,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
